Listing_Id,Listing_Name,Property_type,Room_type,Bed_type,Min_nights,Max_nights,Accomodates,Total_bedrooms,Total_beds,Availability_365,Price,Extra_people,Guests_included,Total_reviews,Review_scores,Amenities,Host_id,Host_name,Country,Longitude,Latitude,Neighbourhood,Listing_count
10057826,Deluxe Loft Suite,Apartment,Entire home/apt,Real Bed,3,1125,4,0.0,2.0,243,205.0,0.0,1.0,5,88,"TV, Cable TV, Internet, Wifi, Air conditioning, Kitchen, Doorman, Gym, Elevator, Heating, Family/kid friendly, Washer, Dryer, Smoke detector, Carbon monoxide detector, First aid kit, Fire extinguisher, Essentials, Shampoo, 24-hour check-in, Hangers, Hair dryer, Iron",47554473,Mae,United States,-73.94472,40.72778,Greenpoint,13
10059244,Ligne verte - à 15 min de métro du centre ville.,Apartment,Entire home/apt,Real Bed,2,1125,2,0.0,1.0,32,43.0,12.0,1.0,0,95,"TV, Internet, Wifi, Kitchen, Free parking on premises, Heating, Washer, Smoke detector, Essentials, Shampoo, Laptop friendly workspace, Hot water, Bed linens",7140229,Caro,Canada,-73.54949,45.54548,Not Available,1
10059872,"Soho Cozy, Spacious and Convenient",Apartment,Entire home/apt,Real Bed,4,20,3,1.0,2.0,0,699.0,0.0,1.0,3,100,"Air conditioning, Kitchen, Smoking allowed, Doorman, Elevator, Heating, Family/kid friendly, Essentials, 24-hour check-in, translation missing: en.hosting_amenity_50",51624384,Giovanni,Hong Kong,114.15027,22.28158,Soho,1
10066928,3 chambres au coeur du Plateau,Apartment,Entire home/apt,Real Bed,1,1125,6,3.0,3.0,0,140.0,0.0,1.0,0,95,"Internet, Wifi, Kitchen, Heating, Family/kid friendly, Washer, Dryer, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace",9036477,Margaux,Canada,-73.57383,45.52233,Le Plateau,2
10069642,Ótimo Apto proximo Parque Olimpico,Apartment,Entire home/apt,Real Bed,15,20,5,2.0,2.0,0,858.0,75.0,1.0,0,95,"TV, Cable TV, Internet, Wifi, Air conditioning, Wheelchair accessible, Kitchen, Free parking on premises, Doorman, Gym, Elevator, Buzzer/wireless intercom, Family/kid friendly, Washer, Essentials, Hair dryer, Iron",51670240,Jonathan,Brazil,-43.4311123147628,-23.00035792660916,Not Available,1
10082307,Double Room en-suite (307),Apartment,Private room,Real Bed,1,1125,2,1.0,1.0,365,361.0,130.0,2.0,0,95,"TV, Internet, Wifi, Air conditioning, Wheelchair accessible, Doorman, Elevator, Family/kid friendly, Shampoo, Hangers, Hair dryer, Iron",51289938,Ken,Hong Kong,114.17158,22.30469,Jordan,6
10082422,Nice room in Barcelona Center,Apartment,Private room,Real Bed,1,9,2,1.0,2.0,0,50.0,0.0,1.0,0,95,"Internet, Wifi, Kitchen, Elevator, Heating, Washer, Shampoo, Hair dryer, Iron, Laptop friendly workspace",30393403,Anna,Spain,2.16942,41.40082,Dreta de l'Eixample,1
10083468,Be Happy in Porto,Loft,Entire home/apt,Real Bed,2,1125,2,1.0,1.0,335,30.0,0.0,1.0,178,97,"TV, Cable TV, Wifi, Kitchen, Smoking allowed, First aid kit, Fire extinguisher, Essentials, Hangers, Hair dryer, Iron, Laptop friendly workspace, translation missing: en.hosting_amenity_49, translation missing: en.hosting_amenity_50, Hot water, Bed linens, Extra pillows and blankets, Microwave, Coffee maker, Refrigerator, Dishes and silverware, Cooking basics, Stove, Long term stays allowed, Well-lit path to entrance, Step-free access, Wide clearance to bed, Accessible-height bed, Step-free access, Step-free access, Handheld shower head, Paid parking on premises",27518920,Fábio,Portugal,-8.61123,41.15225,Not Available,3
10084023,City center private room with bed,Guesthouse,Private room,Futon,1,500,1,1.0,1.0,220,181.0,100.0,1.0,81,92,"TV, Wifi, Air conditioning, Kitchen, Elevator, First aid kit, Hangers, Hair dryer, Iron, Laptop friendly workspace, Hot water, Microwave, Refrigerator, Dishes and silverware, Stove, Long term stays allowed, Host greets you",51744313,Yi,Hong Kong,114.1669,22.3314,Shek Kip Mei,2
10091713,Surry Hills Studio - Your Perfect Base in Sydney,Apartment,Entire home/apt,Real Bed,10,21,2,0.0,1.0,0,181.0,0.0,1.0,64,95,"TV, Wifi, Kitchen, Elevator, Heating, Washer, Dryer, Smoke detector, Essentials, Shampoo, Iron, Laptop friendly workspace, translation missing: en.hosting_amenity_49, translation missing: en.hosting_amenity_50, Hot water, Bed linens, Ethernet connection, Other",13764143,Ben,Australia,151.21554,-33.88029,Surry Hills,1
10092679,Cozy house at Beyoğlu,Apartment,Private room,Pull-out Sofa,2,1125,2,1.0,1.0,37,58.0,60.0,1.0,27,99,"Wifi, Kitchen, Smoking allowed, Breakfast, Pets live on this property, Cat(s), Free street parking, Heating, Washer, Essentials, Shampoo, Lock on bedroom door, Hangers, Hair dryer, Iron, Laptop friendly workspace, Hot water, Bed linens, Extra pillows and blankets, Coffee maker, Refrigerator, Dishwasher, Cooking basics, Patio or balcony, Luggage dropoff allowed, Host greets you",21331922,Ali,Turkey,28.95825,41.03777,Taksim,8
10096773,Easy 1 Bedroom in Chelsea,Apartment,Entire home/apt,Real Bed,2,1125,2,1.0,1.0,0,145.0,0.0,1.0,1,100,"TV, Internet, Wifi, Kitchen, Heating, Smoke detector, Carbon monoxide detector, Fire extinguisher, Essentials",34607505,Scott,United States,-74.00074,40.74577,Chelsea,1
10108388,Sydney Hyde Park City Apartment (checkin from 6am),Apartment,Entire home/apt,Real Bed,2,30,2,1.0,1.0,265,185.0,0.0,1.0,109,100,"TV, Wifi, Air conditioning, Pool, Kitchen, Gym, Elevator, Heating, Washer, Dryer, Smoke detector, Carbon monoxide detector, First aid kit, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, translation missing: en.hosting_amenity_49, translation missing: en.hosting_amenity_50, Self check-in, Building staff, Private living room, Hot water, Bed linens, Extra pillows and blankets, Microwave, Coffee maker, Refrigerator, Dishwasher, Dishes and silverware, Cooking basics, Oven, Stove, Patio or balcony, Cleaning before checkout, Step-free access, Flat path to front door, Well-lit path to entrance, Step-free access",16187044,Desireé,Australia,151.21346,-33.87603,Darlinghurst,1
10109896,THE Place to See Sydney's FIREWORKS,House,Entire home/apt,Real Bed,2,1125,2,1.0,1.0,0,250.0,0.0,1.0,0,95,"TV, Cable TV, Wifi, Air conditioning, Kitchen, Buzzer/wireless intercom, Heating, Family/kid friendly, Washer, Dryer, Smoke detector, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace",6517277,Kristin,Australia,151.17956,-33.86296,Lilyfield/Rozelle,1
10112159,Downtown Oporto Inn (room cleaning),Hostel,Private room,Real Bed,1,1125,2,1.0,1.0,359,40.0,25.0,2.0,0,95,"TV, Cable TV, Wifi, Family/kid friendly, Smoke detector, Fire extinguisher, Essentials, Shampoo, Lock on bedroom door, Hangers, Hair dryer, Hot water, Long term stays allowed, Other",2649859,Elisabete,Portugal,-8.60867,41.1543,Not Available,2
10115921,GOLF ROYAL RESİDENCE TAXİM(1+1):3,Serviced apartment,Entire home/apt,Real Bed,1,1125,4,2.0,4.0,365,838.0,0.0,1.0,3,67,"TV, Cable TV, Internet, Wifi, Air conditioning, Wheelchair accessible, Kitchen, Paid parking off premises, Smoking allowed, Doorman, Elevator, Buzzer/wireless intercom, Heating, Family/kid friendly, Suitable for events, Dryer, Smoke detector, Carbon monoxide detector, First aid kit, Safety card, Fire extinguisher, Essentials, Shampoo, 24-hour check-in, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Building staff, Crib, Hot water, Luggage dropoff allowed, Long term stays allowed",51471538,Ahmet,Turkey,28.98713,41.04841,Şişli,16
10116256,GOLF ROYAL RESIDENCE SUİTES(2+1)-2,Serviced apartment,Entire home/apt,Real Bed,1,1125,6,2.0,5.0,365,997.0,0.0,1.0,0,95,"TV, Internet, Wifi, Air conditioning, Wheelchair accessible, Kitchen, Paid parking off premises, Smoking allowed, Doorman, Elevator, Buzzer/wireless intercom, Heating, Family/kid friendly, Suitable for events, Washer, Dryer, Smoke detector, Carbon monoxide detector, Fire extinguisher, Essentials, Shampoo, 24-hour check-in, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Building staff, Hot water, Luggage dropoff allowed, Long term stays allowed",51471538,Ahmet,Turkey,28.98818,41.04772,Şişli,16
10116578,Apartamento zona sul do RJ,Apartment,Entire home/apt,Real Bed,1,1125,5,3.0,3.0,365,933.0,0.0,1.0,0,95,"Cable TV, Wifi, Air conditioning, Wheelchair accessible, Kitchen, Free parking on premises, Doorman, Elevator, Buzzer/wireless intercom, Family/kid friendly, Washer, 24-hour check-in, Iron",51915770,Luiz Rodrigo,Brazil,-43.1825954762751,-22.930541460367934,Not Available,1
10117617,A Casa Alegre é um apartamento T1.,Apartment,Entire home/apt,Real Bed,7,180,2,1.0,1.0,46,40.0,0.0,2.0,12,96,"TV, Kitchen, Elevator, Buzzer/wireless intercom, Heating, Family/kid friendly, Washer, First aid kit, Safety card, Fire extinguisher, Essentials, Shampoo, Hangers, Iron, Laptop friendly workspace, translation missing: en.hosting_amenity_49, Bathtub, Beachfront",51920973,Manuela,Portugal,-8.75383,41.3596,Not Available,1
10120414,The LES Apartment,Apartment,Entire home/apt,Real Bed,3,1125,3,1.0,1.0,0,150.0,0.0,1.0,0,95,"TV, Internet, Wifi, Air conditioning, Kitchen, Buzzer/wireless intercom, Family/kid friendly, Washer, Dryer, Essentials, Shampoo, 24-hour check-in, Hangers, Hair dryer, Iron, Laptop friendly workspace",33231070,Mert,United States,-73.98944,40.72063,Not Available,1
10133350,2 bedroom Upper east side,Apartment,Entire home/apt,Real Bed,2,7,5,2.0,2.0,0,275.0,0.0,1.0,9,90,"TV, Cable TV, Internet, Wifi, Air conditioning, Kitchen, Pets allowed, Pets live on this property, Buzzer/wireless intercom, Heating, Family/kid friendly, Essentials, Shampoo, Hair dryer, Iron, Laptop friendly workspace",52004369,Chelsea,United States,-73.95854,40.7664,Not Available,2
10133554,Double and triple rooms Blue mosque,Bed and breakfast,Private room,Real Bed,1,1125,3,1.0,2.0,365,121.0,0.0,1.0,29,92,"Internet, Wifi, Air conditioning, Free parking on premises, Smoking allowed, Heating, Family/kid friendly, Suitable for events, Washer, Dryer, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Building staff",52004703,Mehmet Emin,Turkey,28.98009,41.0062,Not Available,2
10138784,Room Close to LGA and 35 mins to Times Square,Apartment,Private room,Real Bed,2,1125,2,1.0,1.0,365,46.0,10.0,1.0,123,99,"Internet, Wifi, Air conditioning, Pets live on this property, Dog(s), Other pet(s), Elevator, Buzzer/wireless intercom, Heating, First aid kit, Essentials, Shampoo, Hangers, Hair dryer, translation missing: en.hosting_amenity_49, translation missing: en.hosting_amenity_50, Hot water, Bed linens, Host greets you",52031360,Cheer,United States,-73.88025,40.74953,Jackson Heights,1
10140368,A bedroom far away from home,Apartment,Private room,Real Bed,1,10,2,1.0,1.0,34,45.0,10.0,1.0,239,95,"Wifi, Kitchen, Free street parking, Heating, Family/kid friendly, Smoke detector, Carbon monoxide detector, Essentials, Shampoo, Lock on bedroom door, Hangers, Hair dryer, Iron, Laptop friendly workspace, translation missing: en.hosting_amenity_50, Private entrance, Hot water, Host greets you",1017772,Lane,United States,-73.82257,40.71485,Jamaica,1
10141950,"Big, Bright & Convenient Sheung Wan",Apartment,Entire home/apt,Real Bed,2,1125,2,0.0,1.0,0,966.0,0.0,1.0,1,100,"TV, Wifi, Air conditioning, Kitchen, Elevator, Buzzer/wireless intercom, Heating, Washer, Dryer, Essentials, Hair dryer, Iron, Laptop friendly workspace",11435086,Regg,Hong Kong,114.15007,22.28422,Sheung Wan,1
10166883,Large railroad style 3 bedroom apt in Manhattan!,Apartment,Entire home/apt,Real Bed,3,6,9,3.0,4.0,0,180.0,19.0,4.0,22,95,"TV, Internet, Wifi, Air conditioning, Kitchen, Paid parking off premises, Free street parking, Buzzer/wireless intercom, Heating, Smoke detector, Carbon monoxide detector, Essentials, Shampoo, 24-hour check-in, Hair dryer, Iron, Laptop friendly workspace, translation missing: en.hosting_amenity_49, translation missing: en.hosting_amenity_50, Hot water, Microwave, Refrigerator, Dishes and silverware, Cooking basics, Oven, Stove, Single level home, Other",35215309,Vick,United States,-73.93943,40.79805,East Harlem,1
10166986,Resort-like living in Williamsburg,Apartment,Entire home/apt,Real Bed,5,1125,4,2.0,2.0,0,220.0,0.0,1.0,1,100,"TV, Internet, Wifi, Air conditioning, Wheelchair accessible, Pool, Kitchen, Doorman, Gym, Elevator, Hot tub, Buzzer/wireless intercom, Heating, Family/kid friendly, Washer, Dryer, Smoke detector, Essentials, 24-hour check-in, Hangers, Iron",14461742,Mohammed,United States,-73.93869,40.71552,Williamsburg,1
1016739,Private Room (2)  in Guest House at Coogee Beach,House,Private room,Real Bed,3,365,2,1.0,2.0,20,64.0,0.0,1.0,8,100,"TV, Internet, Wifi, Kitchen, Smoking allowed, Doorman, Free street parking, Family/kid friendly, Washer, Dryer, Smoke detector, Safety card, Fire extinguisher, Essentials, Lock on bedroom door, 24-hour check-in, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Keypad, Hot water",5595776,David,Australia,151.25541,-33.92398,Coogee,6
10184012,Apto semi mobiliado,Apartment,Entire home/apt,Real Bed,1,1125,2,2.0,2.0,365,380.0,0.0,1.0,0,95,"Air conditioning, Kitchen, Free parking on premises, Doorman, Elevator, Buzzer/wireless intercom, Family/kid friendly, Washer, Essentials, Hangers, Iron",52299431,Ricardo,Brazil,-43.24277868091869,-22.915009354482486,Not Available,1
10186755,Roof double bed private room,Loft,Private room,Real Bed,1,1125,2,1.0,2.0,365,185.0,0.0,1.0,0,95,"TV, Internet, Wifi, Air conditioning, Kitchen, Doorman, Elevator, Heating, Family/kid friendly, Washer, Essentials, 24-hour check-in, Hair dryer, Iron, Laptop friendly workspace",52316085,Mustafa,Turkey,29.03693,41.12452,Not Available,1
1019168,"Cozy Nest, heart of the Plateau",Apartment,Private room,Real Bed,2,120,1,1.0,1.0,0,34.0,10.0,1.0,62,98,"TV, Wifi, Kitchen, Paid parking off premises, Pets live on this property, Cat(s), Free street parking, Heating, Family/kid friendly, Washer, Dryer, Smoke detector, First aid kit, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Lockbox, Hot water, Microwave, Coffee maker, Refrigerator, Dishes and silverware, Cooking basics, Oven, Stove, BBQ grill, Garden or backyard, Luggage dropoff allowed, Long term stays allowed",39300,Lilou,Canada,-73.58774,45.52028,Mile End,1
10199760,Uygun nezih daire,Apartment,Entire home/apt,Real Bed,1,1125,4,1.0,2.0,365,264.0,53.0,1.0,0,95,"TV, Internet, Wifi, Kitchen, Heating, Family/kid friendly, Washer, Dryer, Smoke detector, Carbon monoxide detector, First aid kit, Fire extinguisher, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace",37417314,Yaşar,Turkey,28.89964,40.99667,Not Available,1
10201975,Ipanema: moderno apê 2BR + garagem,Apartment,Entire home/apt,Real Bed,4,1125,4,2.0,2.0,174,298.0,50.0,2.0,24,92,"TV, Cable TV, Internet, Wifi, Air conditioning, Kitchen, Free parking on premises, Smoking allowed, Doorman, Elevator, Buzzer/wireless intercom, Family/kid friendly, Washer, Dryer, Essentials, Shampoo, 24-hour check-in, Hangers, Hair dryer, Iron, Laptop friendly workspace, Hot water, Luggage dropoff allowed, Long term stays allowed, Host greets you",2537111,Barbara,Brazil,-43.1998455458952,-22.980051683700506,Santa Teresa,13
10209136,"Friendly Apartment, 10m from Manly",Apartment,Private room,Real Bed,1,1125,2,1.0,1.0,0,36.0,20.0,2.0,4,95,"Internet, Wifi, Kitchen, Free parking on premises, Heating, Family/kid friendly, Washer, Dryer, First aid kit, Essentials",52453573,Isaac,Australia,151.26969,-33.79629,Not Available,1
10213499,Great studio opp. Narrabeen Lake,Apartment,Entire home/apt,Real Bed,1,1125,2,0.0,1.0,26,117.0,20.0,1.0,61,97,"TV, Cable TV, Internet, Wifi, Pool, Kitchen, Free parking on premises, Pets live on this property, Dog(s), Heating, Washer, First aid kit, Essentials, Shampoo, Hangers, Hair dryer, Iron, Hot water, Bed linens, Extra pillows and blankets, Ethernet connection",634664,Tracy,Australia,151.29792,-33.71472,Not Available,1
10215858,Cozy Queen Guest Room&My,Apartment,Private room,Real Bed,1,500,2,1.0,1.0,135,330.0,0.0,1.0,9,73,"TV, Wifi, Air conditioning, Doorman, Elevator, Family/kid friendly, Smoke detector, Essentials, Lock on bedroom door, Hangers, Hair dryer",52473150,Danny,Hong Kong,114.17034,22.31655,Mong Kok,29
10220130,Cozy aptartment in Recreio (near Olympic Venues),Apartment,Entire home/apt,Real Bed,2,30,6,3.0,3.0,0,746.0,187.0,4.0,0,95,"TV, Cable TV, Internet, Wifi, Air conditioning, Pool, Kitchen, Free parking on premises, Doorman, Gym, Elevator, Hot tub, Buzzer/wireless intercom, Family/kid friendly, Washer, Dryer, Safety card, Fire extinguisher, Essentials, Hangers, Iron, Laptop friendly workspace, translation missing: en.hosting_amenity_50",31553171,José Augusto,Brazil,-43.45296045334386,-23.008710784460312,Recreio dos Bandeirantes,1
1022200,"Kailua-Kona, Kona Coast II 2b condo",Apartment,Entire home/apt,Real Bed,7,7,6,2.0,3.0,196,135.0,0.0,1.0,1,100,"Cable TV, Internet, Wifi, Air conditioning, Pool, Kitchen, Free parking on premises, Gym, Family/kid friendly, Washer, Dryer",3393610,Daniel,United States,-155.96445,19.5702,Kailua/Kona,1
10227000,"LAHAINA, MAUI! RESORT/CONDO BEACHFRONT!! SLEEPS 4!",Condominium,Entire home/apt,Real Bed,1,1125,4,1.0,2.0,365,499.0,0.0,1.0,1,100,"TV, Cable TV, Internet, Wifi, Air conditioning, Wheelchair accessible, Pool, Kitchen, Free parking on premises, Doorman, Gym, Elevator, Hot tub, Indoor fireplace, Buzzer/wireless intercom, Heating, Family/kid friendly, Suitable for events, Washer, Dryer, Smoke detector, Carbon monoxide detector, First aid kit, Safety card, Fire extinguisher, Essentials, 24-hour check-in, Hangers, Hair dryer, Iron, Laptop friendly workspace",12057949,Holly,United States,-156.68012,20.96996,Central Business District,472
10228731,Quarto inteiro na Tijuca,Apartment,Private room,Real Bed,1,15,1,1.0,1.0,178,149.0,0.0,1.0,1,100,"Internet, Wifi, Kitchen, Free parking on premises, Family/kid friendly, Washer",12673423,Gilberto,Brazil,-43.247421907135774,-22.936203246553816,Tijuca,2
10233856,Twin Bed room+MTR Mongkok shopping&My,Apartment,Private room,Real Bed,1,500,3,1.0,2.0,145,400.0,0.0,1.0,22,83,"TV, Wifi, Air conditioning, Doorman, Elevator, Family/kid friendly, Smoke detector, Essentials, Lock on bedroom door, Hangers, Hair dryer",52473150,Danny,Hong Kong,114.17073,22.31723,Mong Kok,29
10240767,Cozy double bed room 東涌鄉村雅緻雙人房,Guesthouse,Private room,Real Bed,1,1125,2,1.0,1.0,339,487.0,0.0,1.0,162,96,"TV, Wifi, Air conditioning, Kitchen, Free parking on premises, Pets live on this property, Cat(s), Family/kid friendly, Suitable for events, Washer, Dryer, Smoke detector, First aid kit, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Children’s books and toys, Hot water, Bed linens, Extra pillows and blankets, Microwave, Coffee maker, Refrigerator, Dishes and silverware, Cooking basics, Oven, Stove, BBQ grill, Patio or balcony, Garden or backyard, Luggage dropoff allowed, Long term stays allowed, Cleaning before checkout, Host greets you",52491634,Ricky,Hong Kong,113.92823,22.27671,Not Available,5
10264100,Your spot in Copacabana,Apartment,Entire home/apt,Real Bed,2,15,6,2.0,5.0,247,798.0,20.0,4.0,8,100,"TV, Cable TV, Wifi, Air conditioning, Kitchen, Paid parking off premises, Doorman, Elevator, Buzzer/wireless intercom, Family/kid friendly, Washer, First aid kit, Essentials, Hangers, Hair dryer, Iron, Laptop friendly workspace, translation missing: en.hosting_amenity_50, Window guards, Hot water, Bed linens, Extra pillows and blankets, Microwave, Coffee maker, Refrigerator, Dishes and silverware, Cooking basics, Oven, Stove, Long term stays allowed, Host greets you",52772199,Ana Lúcia,Brazil,-43.17714541632985,-22.96270793328072,Not Available,1
10266175,Makaha Valley Paradise with OceanView,Condominium,Entire home/apt,Pull-out Sofa,3,180,4,1.0,2.0,246,95.0,0.0,1.0,32,98,"TV, Cable TV, Internet, Wifi, Air conditioning, Pool, Kitchen, Elevator, Family/kid friendly, Washer, Dryer, Smoke detector, Carbon monoxide detector, Fire extinguisher, Essentials, Shampoo, 24-hour check-in, Hangers, Hair dryer, Iron, Laptop friendly workspace, Hot water, Long term stays allowed, Other, Paid parking on premises",42868615,Ray And Lise,United States,-158.20291,21.4818,Waianae Coast,2
10267144,IPANEMA LUXURY PENTHOUSE with MAID,Apartment,Entire home/apt,Real Bed,1,1125,3,1.0,1.0,345,858.0,112.0,3.0,29,99,"TV, Cable TV, Internet, Wifi, Air conditioning, Pool, Kitchen, Smoking allowed, Doorman, Breakfast, Elevator, Free street parking, Washer, First aid kit, Essentials, Shampoo, 24-hour check-in, Hangers, Hair dryer, Iron, Laptop friendly workspace, Hot water, Luggage dropoff allowed, Long term stays allowed, Host greets you",4428126,Cesar,Brazil,-43.20056249420509,-22.98034625363379,Ipanema,3
10269320,FloresRooms 3T,Apartment,Entire home/apt,Real Bed,2,1124,2,0.0,1.0,278,31.0,0.0,1.0,225,96,"TV, Cable TV, Internet, Wifi, Elevator, First aid kit, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Laptop friendly workspace, translation missing: en.hosting_amenity_49, translation missing: en.hosting_amenity_50, Self check-in, Lockbox, Hot water, Bed linens, Extra pillows and blankets",51724179,Andreia,Portugal,-8.61205,41.14404,Not Available,6
10280433,~Ao Lele~ Flying Cloud,Treehouse,Entire home/apt,Real Bed,2,30,2,1.0,1.0,165,185.0,0.0,2.0,103,99,"Internet, Wifi, Kitchen, Free parking on premises, Breakfast, Indoor fireplace, Heating, Smoke detector, Carbon monoxide detector, First aid kit, Safety card, Fire extinguisher, Essentials, Shampoo, 24-hour check-in, Hangers, Hair dryer, Iron, Laptop friendly workspace, translation missing: en.hosting_amenity_49, translation missing: en.hosting_amenity_50, Hot water, Bed linens, Extra pillows and blankets, Microwave, Coffee maker, Refrigerator, Dishes and silverware, Cooking basics, Oven, Stove, Patio or balcony, Garden or backyard, Host greets you",52785887,Mike,United States,-155.21763,19.42151,Not Available,1
